family,k,draw_idx,L_indiv,bias_primal,var_primal,gap_primal,bias_dual,var_dual,auc_primal,auc_dual
densenet,4,18,0.4642003094559599,0.42363372387912784,0.04963205002304993,-0.009065464446217864,0.42228300013947956,0.04191730931648036,0.866030725447311,0.8684155050198951
densenet,4,19,0.47351944745849395,0.43715925311461384,0.04815936763856719,-0.011799173294687104,0.43390079941729826,0.03961864804119572,0.8580002108092439,0.8627829455321616
densenet,4,20,0.4767124244190455,0.455601060738567,0.030886336984414946,-0.009774973303936452,0.45015573130912173,0.02655669310992375,0.8408851353131834,0.8455427020474848
densenet,4,21,0.4632329313658945,0.42867922337900644,0.041539482042643,-0.006985774055754956,0.42688165037526776,0.036351280990626775,0.8611162349469024,0.8639621597407046
densenet,4,22,0.4851468921668943,0.4233785569323653,0.06712646742919966,-0.005358132194670684,0.4316278836600278,0.05351900850686656,0.8657738016812038,0.8677896650768137
densenet,4,23,0.4726781545193077,0.43948897796207964,0.047413513900133576,-0.014224337342905513,0.43260329080166804,0.04007486371763977,0.853770850351788,0.8585667606524545
densenet,4,24,0.47211187840052005,0.4558333923475114,0.01836891551337425,-0.0020904294603656393,0.45476242785676324,0.0173494505437569,0.8395807531160242,0.8406743260691981
densenet,4,25,0.47938612532334923,0.460427047555931,0.020364675284319896,-0.0014055975169016688,0.4606016997954595,0.01878442552788974,0.8346926137711138,0.8349956520593428
densenet,4,26,0.4745661403635585,0.43543551476935105,0.04848502410394081,-0.009354398509733353,0.4343667853594315,0.04019935500412694,0.8611491738912751,0.8646407019947825
densenet,4,27,0.4580187604880022,0.4309452223480765,0.03191071839779158,-0.004837180257865836,0.42924808958881244,0.028770670899189787,0.8578091649318822,0.858962027984927
densenet,4,28,0.4686800635407,0.45215900480888965,0.02073534801371991,-0.0042142892819095334,0.44947066087615717,0.01920940266454289,0.8411815858125379,0.8426704260981843
densenet,4,29,0.4858019179554712,0.4291470444770157,0.07178656009686625,-0.015131686618410745,0.4298599371263986,0.05594198082907255,0.8606221507813118,0.8632243273867558
densenet,5,0,0.4802761865829285,0.44514515058279275,0.04544471384794657,-0.010313677847810843,0.44077592586819075,0.03950026071473783,0.8496403067274501,0.8544823315502383
densenet,5,1,0.4801530856160693,0.4475610142748122,0.04252828620660436,-0.009936214865347293,0.4430217741716483,0.03713131144442106,0.8501541542596643,0.8549698279269546
densenet,5,2,0.4941091797101215,0.4328489317594589,0.07734540945176335,-0.016085161501100675,0.4321321371505738,0.06197704255954774,0.8585865240190783,0.8625853118659254
densenet,5,3,0.45966615113034104,0.43010916070878374,0.03601843438474042,-0.0064614439631831555,0.4278342649753132,0.0318318861550279,0.8597031542333131,0.8620187620227147
densenet,5,4,0.49145525499306597,0.4308496519835535,0.07387961643281711,-0.013274013423304698,0.4321018653451779,0.05935338964788808,0.8604113415373265,0.8637513504967193
densenet,5,5,0.49019045263352024,0.4376201785843772,0.06764865400071157,-0.015078379951568466,0.43592512641498227,0.05426532621853803,0.8540936520066403,0.858171493319982
densenet,5,6,0.48721903893210533,0.4273875952996985,0.06995564567832427,-0.010124202045917408,0.43003601115958867,0.0571830277725167,0.8629542280428997,0.8660570766028091
densenet,5,7,0.4952316086272341,0.44544671665881197,0.06773231076975801,-0.017947418801335935,0.43975706692575994,0.055474541701474256,0.8502397955150334,0.8555759045034124
densenet,5,8,0.4628115656484536,0.43705613703362894,0.03211691002947833,-0.006361481414653647,0.43391526359224564,0.028896302056207985,0.8552399272708109,0.8572162639331735
densenet,5,9,0.4811908288941438,0.46288742089684726,0.019364828205006474,-0.00106142020770994,0.46298391126462507,0.018206917629518735,0.834877071859601,0.8350483543703391
densenet,5,10,0.5058276565840172,0.45338160960887025,0.06952613591548866,-0.017080088940341742,0.44858444516303503,0.05724321142098211,0.8442910221613218,0.8500751007931697
densenet,5,11,0.47820899929020844,0.45109546231707265,0.03227701737342097,-0.005163480400285192,0.4493805427200207,0.028828456570187663,0.8452594271258794,0.8484874436744052
densenet,5,12,0.4686064065860146,0.43253408577587094,0.04653025183481669,-0.010457931024673017,0.4292849525380562,0.03932145404795841,0.8604047537484518,0.8646143508392844
densenet,5,13,0.471390916255569,0.4463805040478624,0.031956368068520355,-0.006945955860813757,0.44318305802058056,0.02820785823498849,0.8491659859284829,0.8526179872987432
densenet,5,14,0.47110506796761653,0.439960671594096,0.04073344917791127,-0.009589052804390763,0.4358818020957276,0.03522326587188893,0.8521502542886507,0.8559184695248886
densenet,5,15,0.4871524957451694,0.4276944829909378,0.07384970446073198,-0.014391691706500453,0.42787861304811176,0.05927388269705759,0.8625457851326781,0.8662349469024216
densenet,5,16,0.45547827991964,0.42157948150547614,0.044995868242177356,-0.01109706982801345,0.41660211246437984,0.038876167455260215,0.8659121452475691,0.8692060396848402
densenet,5,17,0.4810870813955434,0.4238361420963466,0.06633588659505114,-0.009084947295854351,0.42692791248094747,0.05415916891459595,0.8638369917520883,0.8664062294131597
densenet,5,18,0.4745030921114416,0.4523259861312793,0.02944669785839215,-0.007269591878229842,0.4483777791412408,0.026125312970200907,0.8429866399641623,0.8467021528894041
densenet,5,19,0.4870967755583301,0.4230501641598514,0.07460369006085635,-0.01055707866237765,0.42664228326876213,0.06045449228956791,0.8665577485572742,0.8686526654193787
densenet,5,20,0.4842282227036148,0.4233720461965508,0.07484558602186603,-0.013989409514801987,0.4244540319787819,0.05977419072483287,0.8662085957469234,0.868949115918733
densenet,5,21,0.4654654903655092,0.44164648483330526,0.032426663134415876,-0.008607657602211938,0.4360733316982968,0.029392158667212398,0.8519065061002924,0.855279454004058
densenet,5,22,0.4655517872925228,0.427735195872741,0.04862880463510903,-0.010812213215327271,0.4238050826346898,0.041746704657833006,0.8647131676724025,0.8682244591425334
densenet,5,23,0.47116078815445583,0.4472012009982323,0.032571898836489595,-0.00861231168026605,0.44250575276898807,0.028655035385467834,0.8474860997654747,0.8515441777121926
densenet,5,24,0.47043203361626745,0.4443279479248153,0.03517545398806288,-0.009071368296610705,0.4386494858129161,0.03178254780335143,0.8475651532319692,0.8511686737463438
densenet,5,25,0.4921345389593811,0.43233870617081205,0.07961991270030644,-0.019824079911737402,0.42943245283499676,0.06270208612438438,0.8588302722074362,0.8633231442198741
densenet,5,26,0.4658464535171626,0.4282812859275804,0.0507885548835452,-0.013223387293963051,0.42245678642497675,0.04338966709218584,0.8623152125220691,0.8662612980579197
densenet,5,27,0.46027966560461175,0.42636105733753416,0.04418845527989777,-0.010269847012820188,0.42268990830026254,0.03758975730434915,0.8626511897546708,0.8663469393132889
densenet,5,28,0.4735163920568496,0.4339554436235141,0.0497051190686514,-0.010144170635315919,0.43137835267360897,0.042138039383240594,0.8588829745184325,0.8626511897546707
densenet,5,29,0.48526596598168925,0.4321738168930966,0.06885414660018027,-0.015761997511587578,0.4293303385345258,0.05593562744716338,0.8587248675854435,0.8619331207673456
densenet,6,0,0.48053062923243667,0.455036536774351,0.030998190011427656,-0.0055040975533420244,0.4525824215395198,0.02794820769291693,0.8414846241007669,0.8450354423041451
densenet,6,1,0.4911103848161901,0.4409785328518656,0.06590077045402126,-0.015768918489696804,0.4370976092411296,0.054012775575060505,0.8540738886400169,0.8582900735197239
densenet,6,2,0.4886648767648824,0.441512311815069,0.060932793109042954,-0.01378022815922958,0.4370792877766011,0.05158558898828135,0.8526048117209939,0.8558921183693905
densenet,6,3,0.4859695107401758,0.432856076210655,0.06553916328122343,-0.01242572875170267,0.4308613251296762,0.055108185610499696,0.8594429365727687,0.8621966323223273
densenet,6,4,0.4843239767812255,0.4324469987841287,0.0665768154255097,-0.014699837428412854,0.42884314534270906,0.05548083143851653,0.8591530738622888,0.8627104798545415
densenet,6,5,0.4688447646050975,0.4433889999828733,0.030509900564562466,-0.005054135942338278,0.44131898337218073,0.027525781232916775,0.8483029855859179,0.8505098948588896
densenet,6,6,0.4654344624621256,0.4291844859959412,0.046883901418675177,-0.01063392495249077,0.4245307830300082,0.04090367943211741,0.8619594719228438,0.8659121452475691
densenet,6,7,0.48554664874360864,0.4284417285185146,0.07517519016043242,-0.018070269935338334,0.42493186564283725,0.060614783100771404,0.8629278768874014,0.8670715960894884
densenet,6,8,0.48095019483605167,0.4234751666530033,0.06615052503008394,-0.008675496847035558,0.42618565096869937,0.05476454386735227,0.8655300534928457,0.8683496271311497
densenet,6,9,0.48627511404685636,0.4368128680945867,0.06725319445700932,-0.017790948504739668,0.4304553365899069,0.05581977745694942,0.8550488813934491,0.859772326016496
densenet,6,10,0.4721654178413102,0.43926362637846217,0.04495371863639149,-0.01205192717354342,0.4336853736135689,0.03848004422774132,0.8548380721494637,0.8597064481277504
densenet,6,11,0.4709427458789272,0.4448754783459663,0.031965265412198005,-0.005897997879237116,0.4423191731356036,0.02862357274332355,0.8493438562280955,0.8520909641887798
densenet,6,12,0.481794494474409,0.4578840604927283,0.03091885121387595,-0.007008417232195252,0.45412158933950464,0.027672905134904384,0.8398245013043822,0.8441065640728346
densenet,6,13,0.464731666411647,0.42652571584641263,0.04967038440505706,-0.011464433839822707,0.4227973503599745,0.041934316051672534,0.8641597934069409,0.8677040238214445
densenet,6,14,0.48827869802966917,0.43281087203176466,0.06868309333446364,-0.013215267336559089,0.43183186171545496,0.05644683631421421,0.8599370207383593,0.8635076023083612
densenet,6,15,0.47802030920842425,0.44245466196180044,0.04853234510887463,-0.012966697862250798,0.4369312161309377,0.04108909307748655,0.8540409496956441,0.8591201349179161
densenet,6,16,0.4683618544890497,0.4333173516605435,0.04576405008798213,-0.010719547259475937,0.42899637423669784,0.039365480252351794,0.8573150807662917,0.8610767082136552
densenet,6,17,0.4712824911251076,0.4508834789691433,0.021806955102405864,-0.0014079429464415871,0.4509963818813413,0.020286109243766406,0.8431118079527786,0.8431315713194023
densenet,6,18,0.462531100998768,0.42611342844557126,0.04770176933708331,-0.011284096783886588,0.4219086285392951,0.0406224724594729,0.8638896940630847,0.8672692297557248
densenet,6,19,0.4680279423420195,0.43345334560002774,0.04805817637537205,-0.013483579633380316,0.42620085405687325,0.04182708828514627,0.8588170966296871,0.8636657092413502
densenet,6,20,0.48015239153940653,0.4226005460836583,0.06760864104137802,-0.01005679558562983,0.4254689239752449,0.05468346756416166,0.8664457561464071,0.8694497878731982
densenet,6,21,0.48612456610582294,0.4370950352137374,0.06392818000659607,-0.014898649114510498,0.4332034831827197,0.05292108292310339,0.856142454346623,0.8607868455031753
densenet,6,22,0.48259696216746967,0.43075412911557914,0.06510917536276722,-0.0132663423108767,0.4291974575794304,0.05339950458803926,0.8615905557458694,0.8656222825370894
densenet,6,23,0.4674618723700901,0.43050695728411587,0.04637765887005907,-0.009422743784084808,0.42675204519802973,0.04070982717206045,0.8596932725500012,0.863468075575114
densenet,6,24,0.463978823802559,0.4274964773126869,0.04700062224967162,-0.010518275759799522,0.4228328017550261,0.04114602204753296,0.8618870062452239,0.8659911987140636
densenet,6,25,0.4879364114616347,0.43307661407223547,0.06960013386471374,-0.014740336475314475,0.43060868691728255,0.05732772454435212,0.8607143798255553,0.8642915491844316
densenet,6,26,0.47299929444415967,0.4449338890365403,0.03433818895059933,-0.006272783542979943,0.44167754092582695,0.03132175351833269,0.84993016943793,0.8526245750876175
densenet,6,27,0.48599082145645583,0.43298495059264164,0.06762604006476183,-0.014620169200947608,0.4308851070838798,0.05510571437257611,0.858645814118949,0.8627500065877889
densenet,6,28,0.4694706643653748,0.4319597453910691,0.05024453621989455,-0.012733617245588857,0.4258805803565758,0.04359008400879912,0.8598909062162376,0.8643113125510553
densenet,6,29,0.46750900385335953,0.43109582332191787,0.04751691529862343,-0.011103734767181794,0.42596225310503,0.04154675074832956,0.8585996995968275,0.8626446019657962
densenet,7,0,0.4687025213213839,0.4425084647394238,0.03156361476250497,-0.005369558180544853,0.43972303697197046,0.028979484349413557,0.8504967192811406,0.8528024453872303
densenet,7,1,0.4726826619085892,0.4474805857045666,0.03055122909372813,-0.005349152889705555,0.44497622519393104,0.027706436714658257,0.8475256264987221,0.8503583757147751
densenet,7,2,0.4631732498755053,0.4259305527897312,0.047130606820313496,-0.009887909734539402,0.422287066097399,0.04088618377810632,0.8627961211099108,0.8664062294131597
densenet,7,3,0.48417055472451354,0.4349271925040332,0.06627810627379717,-0.01703474405331684,0.42970096121859636,0.0544695935059172,0.8574665999104061,0.8622954491554455
densenet,7,4,0.4865248410746631,0.42970345203705473,0.07270559738673708,-0.015884208349128737,0.42655283688520823,0.05997200418945488,0.8614587999683785,0.865800152836702
